Date,Description,Payee,Amount
01/06/2026,Invoice INV-2041 settled,Al Futtaim Group,18500.00
03/06/2026,Stock purchase - electronics,Shenzhen Trading Co,-9400.00
04/06/2026,WPS Salary run June,Payroll,-22000.00
05/06/2026,Office rent June,Emaar Properties,-12000.00
07/06/2026,Shopify payout,Shopify Payments,7350.00
09/06/2026,DEWA utilities,DEWA,-1180.00
10/06/2026,Google Workspace,Google,-220.00
12/06/2026,Transfer to 8841,Internal,-5000.00
14/06/2026,Misc purchase 4471,POS Terminal,-940.00
16/06/2026,Consulting retainer,Crescent Advisory,12000.00
18/06/2026,Careem rides,Careem,-340.00
20/06/2026,Etisalat business line,Etisalat,-560.00
22/06/2026,Talabat catering - team lunch,Talabat,-410.00
25/06/2026,Client payment INV-2048,Gulf Mart LLC,9600.00
27/06/2026,Bank service charge,Emirates NBD,-90.00
