Date,Description,Payee,Amount
01/06/2026,Invoice INV-2041 settled,Al Futtaim Group,18500.00
02/06/2026,Container clearance - electronics,Shenzhen Trading Co,-9400.00
03/06/2026,WPS salary run June,Payroll,-22000.00
04/06/2026,Office rent June,Emaar Properties,-12000.00
05/06/2026,Shopify payout,Shopify Payments,7350.00
06/06/2026,AWS cloud hosting,Amazon Web Services,-680.00
07/06/2026,DEWA utilities,DEWA,-1180.00
08/06/2026,Client payment INV-2044,Lulu Group,14200.00
09/06/2026,Google Ads campaign,Google,-2400.00
10/06/2026,Careem corporate rides,Careem,-340.00
11/06/2026,Stock purchase - accessories,Guangzhou Imports,-6100.00
12/06/2026,Transfer to 8841,Internal,-5000.00
13/06/2026,Etisalat business fibre,Etisalat,-560.00
14/06/2026,Misc purchase 4471,POS Terminal,-940.00
15/06/2026,Consulting retainer,Crescent Advisory,12000.00
16/06/2026,Audit fees Q2,KPMG Lower Gulf,-3500.00
17/06/2026,Talabat team lunch,Talabat,-410.00
18/06/2026,Client payment INV-2048,Gulf Mart LLC,9600.00
19/06/2026,IKEA office furniture,IKEA,-1850.00
20/06/2026,Adobe Creative Cloud,Adobe,-260.00
21/06/2026,Emirates flight - trade show,Emirates,-3200.00
22/06/2026,Bank service charge,Emirates NBD,-90.00
23/06/2026,Invoice INV-2051 settled,Sharaf DG,11300.00
24/06/2026,Salik road tolls,Salik,-120.00
25/06/2026,Marketing - Meta ads,Meta Platforms,-1800.00
26/06/2026,Stock purchase - electronics,Shenzhen Trading Co,-8700.00
27/06/2026,Stripe payout,Stripe,4150.00
28/06/2026,Sundry 9920,Cash,-300.00
